Name,Gender,Position,Height,Weight,Arm Length (inches),Hand Size (inches),Wingspan (inches),Max Velocity (mph),Arm Strength Velocity (mph),Arm Strength Distance (yards),Catch Radius (feet),3 Cone Drill (sec),20 Yard Shuttle (sec),40 Yard Dash (sec),10 Yard Split (sec),Bench Reps at 225,1 Rep Max Press (lbs),1 Rep Max Squat (lbs),Power Clean (lbs),Vertical Jump (inches),Broad Jump (feet),Positions Played,Field Goal Distance (yards),Field Goal Accuracy (%),Field Goal Consistency (avg misses),Punt Distance (yards),Punt Hang Time (seconds),Punt Accuracy (%),Punt Consistency (yards)
Terry Tyler,Male,Cornerback,5.33,164,33.9,8.5,80.4,20.5,60.7,41.8,5.7,5.97,5.43,4.54,1.4,45,288,572,356,20.7,11.0,1,54,0.81,1.6,58,5.08,0.32,43
Alan Tucker,Male,Offensive Lineman,5.25,190,39.7,10.5,84.9,21.6,61.0,47.8,6.2,6.42,4.77,5.0,1.93,7,395,514,312,23.5,7.0,2,45,0.69,1.6,25,4.66,0.37,55
Fernando Ward,Male,Tight End,5.0,267,27.2,9.4,82.4,21.0,62.7,45.2,5.5,7.12,4.36,4.25,1.58,18,386,723,310,30.3,12.9,3,21,0.7,0.4,65,3.16,0.35,57
Austin Clark,Male,Tight End,6.67,231,37.7,9.2,83.9,24.4,58.9,53.5,8.3,6.74,4.32,5.13,1.85,34,437,586,410,40.5,10.2,2,27,0.93,0.9,60,3.4,0.41,56
Joseph Myers,Male,Running Back,6.92,158,30.8,9.3,83.4,24.2,58.9,72.9,12.2,7.48,5.32,5.47,1.76,42,270,427,259,36.3,7.3,1,61,0.61,1.0,29,3.08,0.27,34
Matthew Jordan,Male,Wide Receiver,6.83,224,30.5,7.8,81.7,16.1,67.5,55.6,9.6,7.81,4.69,4.83,1.84,23,377,722,312,43.1,10.3,2,45,0.83,2.0,72,4.16,0.45,58
Peter Carpenter,Male,Linebacker,6.0,205,25.3,9.8,81.0,20.0,55.7,71.8,8.1,6.33,3.55,4.99,1.79,45,472,443,298,35.5,6.3,1,61,0.95,0.3,32,4.36,0.29,55
Thomas Davis,Male,Linebacker,5.25,306,31.6,8.3,71.9,18.4,66.7,71.3,7.2,7.64,4.57,4.56,1.34,13,424,479,229,20.2,10.8,2,43,0.75,2.2,39,3.1,0.3,45
Benjamin Hansen,Male,Offensive Lineman,5.5,242,34.0,8.3,65.1,16.3,51.6,54.2,14.4,7.43,4.98,5.47,1.62,11,543,553,270,34.7,9.2,2,33,0.62,2.4,69,5.4,0.48,32
Michael Williams,Male,Kicker,5.17,221,29.2,8.4,67.7,19.1,51.3,67.9,8.3,5.67,4.67,4.58,1.55,41,402,660,220,36.9,7.2,3,42,0.55,2.2,33,4.82,0.44,57
Scott Ortega,Male,Cornerback,6.0,327,29.4,8.3,66.5,20.0,57.1,55.8,8.8,6.35,5.43,4.67,1.93,12,262,534,440,44.3,6.4,3,39,0.74,0.5,46,3.43,0.41,41
Bryan Perry,Male,Punter,6.5,323,30.9,9.0,84.8,19.4,53.7,72.7,14.8,6.03,4.07,4.76,1.64,20,271,595,425,44.5,11.6,3,47,0.69,1.8,55,4.5,0.26,42
Mark Burns,Male,Quarterback,6.67,257,35.8,7.8,69.5,17.0,52.5,71.9,10.2,7.69,5.38,5.48,1.44,21,523,641,218,20.5,11.6,2,25,0.82,1.3,64,4.22,0.33,56
Tyler Bell,Male,Wide Receiver,5.92,193,27.0,9.0,74.5,23.3,51.5,41.0,5.9,7.8,4.05,4.61,1.74,10,538,611,480,24.2,8.6,3,38,0.8,0.7,28,5.47,0.43,32
Peter Bonilla,Male,Defensive Lineman,5.5,341,34.7,9.7,74.5,20.7,58.7,55.9,9.6,7.04,5.18,5.45,1.49,13,306,375,421,44.1,12.4,4,23,0.71,0.3,55,4.04,0.38,44
Nicholas Lynch,Male,Running Back,6.17,262,38.5,8.8,65.5,17.8,57.1,71.8,8.1,7.67,5.32,4.54,1.82,22,332,575,413,23.1,6.5,3,48,0.77,1.2,59,3.14,0.29,57
Douglas Mitchell,Male,Linebacker,6.08,241,39.7,10.5,70.3,16.7,55.7,67.5,12.5,7.23,3.5,4.53,1.81,36,417,535,499,42.9,6.8,3,33,0.9,0.6,43,4.49,0.5,48
Zachary Mays,Male,Quarterback,5.5,257,38.7,8.1,74.1,21.9,59.3,42.8,12.0,7.06,4.88,5.27,1.81,19,439,579,288,41.2,9.3,4,15,0.64,0.7,48,3.7,0.33,48
Jeffery Benjamin,Male,Quarterback,5.08,324,34.7,8.7,81.2,22.0,59.1,44.8,14.9,6.47,4.2,5.5,1.68,21,536,660,283,31.5,10.7,2,47,0.89,2.2,32,4.51,0.27,56
Wesley Ross,Male,Tight End,6.67,234,31.6,10.0,65.4,24.1,53.6,47.0,9.8,7.47,4.4,4.78,1.64,11,393,699,446,27.8,11.7,4,58,0.6,0.1,47,4.41,0.48,46
Derek Suarez,Male,Wide Receiver,5.5,255,36.4,10.0,69.6,16.2,60.3,52.3,8.5,7.95,5.37,5.35,1.39,27,528,371,329,24.6,13.0,1,49,0.66,2.5,27,3.53,0.38,58
Steven Jackson,Male,Kicker,5.0,315,34.7,9.0,76.1,24.2,50.6,48.8,7.1,7.96,5.34,5.32,1.59,43,468,605,356,22.7,7.5,2,31,0.67,0.3,65,5.44,0.42,44
Andrew Norman,Male,Cornerback,6.5,234,35.2,8.5,77.2,16.5,65.0,70.5,13.7,7.99,4.66,5.13,1.79,15,493,519,244,31.2,9.4,2,30,0.79,0.9,56,3.92,0.42,47
Gabriel Newman,Male,Defensive Lineman,6.67,319,29.4,9.4,75.6,18.8,57.8,58.9,14.3,6.42,4.38,4.55,1.84,31,313,413,243,36.3,8.7,1,31,0.71,1.6,25,4.95,0.42,44
William Valdez,Male,Punter,6.92,276,29.0,9.8,67.6,23.2,60.4,40.1,8.3,5.51,4.55,5.25,1.75,45,414,423,382,36.4,7.3,2,59,0.82,2.6,60,3.53,0.43,60
Thomas Edwards,Male,Punter,5.42,210,36.0,8.2,84.8,20.5,58.1,42.0,8.8,6.22,3.88,4.99,1.77,19,440,615,246,44.7,9.8,1,55,0.66,1.0,47,4.53,0.39,52
Barry Norris,Male,Tight End,6.0,349,39.9,9.7,81.6,20.4,66.5,59.8,11.5,7.84,3.79,4.82,1.63,28,548,341,350,22.2,9.1,4,60,0.71,1.5,59,4.15,0.43,33
Lucas Perkins,Male,Safety,5.17,237,31.1,7.5,84.7,18.3,51.4,50.7,10.7,6.8,4.79,4.68,1.47,40,261,650,338,21.4,10.8,4,28,0.7,1.5,64,4.08,0.35,59
John Brown,Male,Safety,6.08,229,33.1,8.1,78.3,22.9,54.4,55.0,8.5,6.86,4.56,5.0,1.38,25,365,395,369,25.0,12.1,1,28,0.73,2.3,62,4.42,0.31,33
Brian Jenkins,Male,Defensive Lineman,6.17,235,39.1,10.1,75.1,24.0,52.9,64.9,8.8,7.0,4.3,4.2,1.68,21,379,731,414,30.1,8.9,3,54,0.56,0.1,48,4.28,0.3,37
Jonathan Chavez,Male,Cornerback,6.5,217,28.3,10.0,69.2,24.2,65.1,46.6,13.8,6.69,5.38,5.06,1.92,23,510,480,292,25.8,7.2,4,21,0.72,2.3,42,3.33,0.39,47
Troy Mcmillan,Male,Quarterback,6.08,274,32.3,9.9,71.6,20.0,65.8,74.2,7.2,6.43,4.03,5.38,1.81,7,506,584,425,45.0,11.7,1,62,0.78,2.8,48,4.34,0.43,60
Robert Simmons,Male,Quarterback,6.25,171,26.2,8.1,67.5,16.3,50.7,44.3,8.0,6.13,4.12,4.98,1.73,21,311,673,326,36.7,9.6,4,53,0.81,0.5,31,4.82,0.36,52
Cory Garza,Male,Wide Receiver,5.17,283,38.1,9.3,80.3,24.2,51.7,67.9,14.1,5.69,4.21,5.32,1.31,32,483,348,278,31.9,13.0,4,63,0.58,0.9,28,4.26,0.32,50
Bradley Best,Male,Linebacker,6.58,165,34.8,7.9,67.7,21.9,61.1,59.6,5.7,6.91,4.41,4.78,1.66,28,268,518,426,31.9,7.2,1,57,0.87,2.8,28,3.66,0.49,34
Edwin Sanchez,Male,Offensive Lineman,6.83,197,27.9,10.3,68.6,22.5,58.2,55.2,9.3,7.31,4.08,5.22,1.5,26,472,650,453,33.6,8.9,2,27,0.8,1.2,39,5.21,0.37,49
James Zavala,Male,Kicker,5.17,177,25.2,9.6,72.8,20.7,56.8,53.3,9.0,6.76,4.59,4.88,1.46,34,528,302,370,28.9,11.0,1,26,0.67,0.4,27,4.71,0.38,56
Russell Gilbert,Male,Wide Receiver,6.42,286,34.1,10.0,82.5,21.2,53.5,47.9,11.7,5.57,4.2,5.5,1.55,24,410,490,456,26.3,8.5,3,16,0.58,2.8,67,3.39,0.38,55
Charles Escobar,Male,Running Back,5.67,296,32.3,7.5,84.9,17.6,66.6,71.4,12.9,7.94,3.92,4.92,1.77,28,490,348,474,35.1,11.0,1,61,0.72,2.3,47,5.01,0.4,54
Derek Bell,Male,Running Back,5.08,208,29.2,9.6,83.0,24.5,60.4,66.1,12.3,7.65,4.87,4.84,1.92,20,328,636,322,34.1,7.4,1,30,0.67,0.3,40,4.2,0.3,60
Robert Ray,Male,Quarterback,5.42,289,29.3,10.0,72.6,18.3,63.0,51.1,8.1,7.43,5.39,5.07,1.47,31,313,709,274,39.0,8.8,3,29,0.63,0.7,75,5.1,0.44,43
Randy Roberts,Male,Running Back,5.75,303,38.1,8.3,80.7,21.7,52.0,46.5,8.2,6.57,4.22,5.24,1.96,8,386,540,336,31.3,12.0,4,22,0.82,0.2,68,4.68,0.39,35
Daniel Johnson,Male,Wide Receiver,5.08,278,36.4,8.9,71.8,18.1,53.6,56.3,8.8,5.65,3.93,5.16,1.66,13,398,531,336,21.6,7.5,1,54,0.73,2.8,42,5.04,0.33,50
Barry Gomez,Male,Defensive Lineman,6.92,264,36.2,8.3,82.4,22.2,53.1,69.6,13.1,6.47,4.35,4.92,1.43,27,276,709,479,31.9,8.4,1,46,0.71,0.4,38,3.35,0.39,55
James Chandler,Male,Running Back,5.08,209,39.3,7.9,70.8,24.6,59.8,52.5,10.3,5.71,4.54,4.29,1.47,6,302,633,478,21.5,12.7,2,36,0.62,2.6,46,4.59,0.26,52
Anthony King,Male,Defensive Lineman,5.17,152,27.8,7.7,81.1,19.5,62.6,58.4,9.9,7.39,3.94,5.47,1.91,13,333,646,364,34.7,10.6,2,31,0.74,1.0,54,3.62,0.37,55
Joseph Zimmerman,Male,Safety,6.5,153,35.6,9.9,84.9,22.3,56.5,56.8,10.9,6.54,5.19,4.78,1.46,21,450,707,255,24.5,11.2,2,28,0.71,2.3,41,3.38,0.28,45
Harold Cooke,Male,Cornerback,5.67,264,37.8,10.3,84.5,19.6,55.7,54.7,13.5,6.87,3.55,4.59,1.64,45,300,439,335,31.7,11.6,3,63,0.75,1.0,41,3.44,0.26,51
Trevor Parker,Male,Wide Receiver,5.25,184,37.7,8.2,71.0,21.3,59.1,73.1,8.1,6.17,3.86,5.38,1.5,21,280,388,260,20.6,9.1,4,51,0.89,2.0,42,3.42,0.26,45
Ricky Mason,Male,Running Back,5.42,343,33.4,9.7,66.9,18.3,68.1,66.5,11.1,7.12,3.51,4.43,1.32,30,540,584,478,34.2,10.8,1,36,0.88,0.1,42,4.16,0.25,45
Cameron Williams,Male,Cornerback,6.08,261,37.0,8.2,74.4,23.9,57.9,67.6,10.9,5.67,4.09,4.39,1.68,24,288,480,366,32.4,9.9,2,46,0.91,1.6,65,3.22,0.29,37
Daniel Chen,Male,Linebacker,6.25,281,27.4,10.2,71.1,19.8,63.6,43.4,13.6,6.75,3.96,5.07,1.82,14,373,369,423,37.5,9.2,4,53,0.91,0.2,46,4.8,0.27,53
Daniel Brown,Male,Tight End,5.42,296,28.3,9.3,71.7,17.8,54.5,54.8,13.1,6.96,5.25,4.54,1.51,10,465,598,335,21.4,12.7,1,30,0.65,2.2,63,4.11,0.46,40
Richard Maldonado,Male,Linebacker,6.5,235,38.7,7.7,65.9,20.5,55.3,47.2,5.6,7.37,5.36,5.31,1.66,37,488,603,204,38.0,8.3,3,27,0.78,0.9,49,4.79,0.29,39
Steven Aguirre,Male,Running Back,5.42,172,29.0,7.9,71.7,21.6,58.9,53.2,7.6,7.37,4.41,4.37,1.62,25,473,576,420,44.1,10.2,4,41,0.68,2.2,25,4.73,0.33,45
Zachary Reid,Male,Defensive Lineman,5.75,229,25.2,7.7,66.4,18.0,52.4,49.9,14.3,6.55,4.66,4.27,1.99,23,406,358,308,31.9,6.5,4,51,0.59,0.7,71,4.87,0.26,49
Andrew Douglas,Male,Cornerback,5.5,156,26.1,9.6,83.8,16.3,66.4,40.9,11.1,6.22,3.99,4.59,1.43,8,309,518,461,32.2,10.6,2,31,0.7,2.3,41,3.39,0.35,59
Robert Perez,Male,Linebacker,5.83,204,27.7,10.1,82.3,22.3,69.4,41.5,14.3,7.72,4.51,5.04,1.72,17,497,461,334,33.8,11.6,2,20,0.76,2.7,27,3.58,0.25,60
John Hudson,Male,Defensive Lineman,6.83,238,34.8,8.1,75.3,19.6,59.0,74.8,12.9,7.93,4.39,4.28,1.6,23,455,300,317,37.4,7.6,1,52,0.64,2.2,43,3.5,0.39,49
David Krause,Male,Cornerback,6.33,274,36.9,8.6,83.1,18.2,64.1,46.6,11.5,5.58,4.54,5.01,1.77,7,418,373,468,36.9,10.7,3,23,0.83,1.0,26,4.74,0.48,54
Patrick Lee,Male,Safety,6.33,217,28.0,9.3,70.0,17.0,58.2,55.1,13.5,6.75,4.64,5.31,1.84,20,279,480,311,42.9,11.3,1,25,0.8,2.4,30,3.57,0.33,40
Gordon Thomas,Male,Defensive Lineman,5.42,261,30.8,10.2,70.8,23.5,62.9,40.7,8.6,7.43,3.69,4.58,1.48,20,380,428,441,38.3,7.5,4,57,0.73,1.6,72,3.69,0.48,41
Lee Robertson,Male,Defensive Lineman,6.92,181,25.7,9.8,78.3,21.4,59.4,43.7,6.4,7.56,4.21,4.74,1.97,15,482,303,273,38.5,9.6,1,17,0.66,1.9,43,3.19,0.45,60
Brian Morales,Male,Tight End,6.92,327,37.3,8.6,82.4,17.1,58.9,68.3,12.5,6.18,3.61,4.24,1.42,23,253,419,280,35.1,9.3,1,45,0.76,0.2,50,5.17,0.26,58
Keith Jordan,Male,Safety,5.83,190,38.1,9.0,65.3,20.6,56.1,58.0,9.0,5.89,4.79,4.41,1.32,19,389,311,279,23.6,9.2,1,59,0.65,0.4,40,5.2,0.25,34
Angel Mata,Male,Kicker,5.92,300,31.6,9.9,72.4,19.8,65.7,41.8,13.8,6.27,4.04,5.3,1.69,24,356,662,370,40.7,6.9,1,39,0.79,0.0,28,4.07,0.43,58
Javier Lee,Male,Quarterback,6.25,307,38.5,9.0,65.7,24.8,69.9,40.1,6.6,5.87,5.06,4.55,1.99,34,297,657,414,21.4,11.1,3,17,0.73,2.2,51,5.44,0.44,49
Christian Foster,Male,Linebacker,6.67,344,31.7,10.3,76.1,24.2,64.0,67.8,12.2,7.09,4.69,4.87,1.99,29,271,535,365,31.1,8.5,4,32,0.7,0.3,71,3.52,0.44,38
Jason Bradley,Male,Quarterback,6.75,198,39.7,8.2,70.2,19.3,67.2,67.8,6.8,6.38,4.95,5.11,1.47,7,404,589,313,44.7,11.7,1,26,0.83,2.9,59,3.8,0.43,35
Michael Andersen,Male,Linebacker,6.83,177,30.1,9.7,84.8,22.4,68.8,62.6,13.1,7.67,4.24,4.21,1.75,18,460,667,276,37.4,9.4,2,26,0.88,1.6,62,4.49,0.4,32
Samuel Thompson,Male,Tight End,5.67,326,25.6,8.9,83.1,22.1,66.9,58.1,6.1,7.67,4.73,4.5,1.92,27,417,581,221,25.9,11.1,2,34,0.91,2.7,45,4.62,0.41,49
Justin Fleming,Male,Linebacker,5.83,329,33.6,7.5,77.5,23.0,68.9,42.9,10.6,6.1,3.77,5.0,1.86,9,289,650,273,26.6,12.8,3,63,0.67,0.7,27,3.15,0.41,56
Brian King,Male,Safety,5.42,244,36.1,9.1,77.9,16.4,51.3,56.3,10.3,6.21,5.17,5.05,1.42,34,526,535,257,23.7,7.1,3,13,0.93,2.1,34,3.33,0.41,39
Duane Rodriguez,Male,Wide Receiver,5.33,288,28.9,8.4,83.2,22.5,60.5,49.9,13.3,7.21,4.64,4.75,1.86,33,337,367,460,38.5,12.3,4,46,0.62,0.1,40,3.44,0.42,45
Matthew Wilson,Male,Kicker,5.83,271,28.8,10.0,67.3,18.8,59.5,50.4,10.0,6.59,4.59,5.18,1.49,38,346,569,234,21.4,6.3,1,65,0.6,0.3,74,5.38,0.26,33
James Simmons,Male,Cornerback,6.0,232,33.6,8.1,74.0,17.9,58.7,42.7,12.9,6.0,5.18,5.12,1.98,18,356,728,276,43.6,9.5,1,45,0.56,2.4,50,5.5,0.33,56
Stephen Little,Male,Offensive Lineman,5.08,225,29.5,8.3,79.5,16.0,60.8,55.2,9.0,7.86,4.57,4.62,1.44,17,540,346,428,29.4,6.7,3,46,0.9,0.3,75,5.26,0.27,59
Cody Richardson,Male,Tight End,6.5,169,36.0,10.3,74.3,21.1,69.6,48.6,14.3,6.29,3.97,5.02,1.3,40,357,561,478,24.8,11.7,1,23,0.75,0.1,45,5.33,0.43,60
Matthew Brooks,Male,Safety,6.83,263,39.8,9.2,81.2,22.7,62.3,72.2,11.8,6.21,4.31,4.28,1.57,34,266,557,454,35.8,11.8,4,24,0.59,1.7,47,4.92,0.3,54
Bobby White,Male,Kicker,6.33,175,36.8,9.9,75.8,16.2,61.9,51.8,11.1,7.4,5.21,5.01,1.51,40,538,424,225,29.5,6.1,1,24,0.77,1.8,30,4.33,0.35,44
Jason Wong,Male,Cornerback,6.83,248,28.1,9.6,77.8,21.3,55.5,60.8,10.1,7.96,5.44,5.15,1.9,11,537,372,341,41.7,12.6,4,52,0.79,0.3,42,3.24,0.44,44
Joseph Cruz,Male,Tight End,6.67,310,39.0,8.1,84.4,22.6,68.8,74.9,9.3,7.33,5.19,4.69,1.95,37,379,598,262,36.6,6.5,1,47,0.7,1.7,55,4.85,0.5,44
Donald Smith,Male,Linebacker,6.75,222,31.8,8.3,75.5,19.1,69.3,53.5,11.9,5.91,5.15,4.49,1.68,20,490,502,393,23.1,12.5,3,35,0.8,1.9,75,4.29,0.44,43
Andrew Clark,Male,Linebacker,6.08,186,39.5,8.5,80.3,17.5,63.8,63.2,12.3,6.27,5.25,5.03,1.43,5,409,303,489,39.4,6.1,1,29,0.77,2.0,70,3.96,0.29,48
Robert Valdez,Male,Linebacker,5.58,320,26.0,8.2,74.2,23.8,58.4,54.0,12.5,7.55,5.09,4.9,1.75,45,518,527,491,40.8,8.2,2,54,0.67,0.3,56,3.59,0.44,54
Nathan Floyd,Male,Punter,5.5,187,26.8,8.8,78.5,19.6,52.3,58.5,11.0,5.84,5.01,4.34,1.43,36,433,619,212,32.8,9.3,4,17,0.63,2.3,26,3.35,0.49,31
Walter Johnson,Male,Wide Receiver,5.58,257,28.9,10.2,65.2,21.4,68.0,40.9,5.1,5.82,4.46,4.3,1.64,6,311,380,309,36.5,7.6,4,46,0.89,1.4,35,3.0,0.33,53
John Miller,Male,Tight End,6.83,198,36.3,9.4,82.0,21.5,52.1,62.8,9.3,7.78,4.04,4.97,1.95,14,335,555,323,44.4,10.0,2,45,0.6,2.7,45,4.75,0.35,49
Jesse Martin,Male,Cornerback,6.92,268,35.6,8.1,70.1,24.6,69.3,70.6,7.5,6.65,5.2,5.49,1.54,33,307,599,469,20.1,7.5,4,44,0.59,1.6,65,4.35,0.48,48
Cory Stevens,Male,Linebacker,5.42,239,28.4,10.4,69.9,17.9,51.9,41.8,11.9,6.09,4.65,4.21,1.55,33,533,678,424,40.6,11.1,4,35,0.87,2.0,51,4.82,0.47,38
Jared Ramirez,Male,Quarterback,5.42,302,31.2,10.3,71.8,18.3,51.3,40.6,13.2,5.98,4.42,4.74,1.47,32,499,573,315,41.9,10.3,4,49,0.61,0.4,39,3.07,0.29,31
Antonio York,Male,Punter,6.58,199,28.0,8.0,83.5,20.9,68.5,72.4,14.1,7.17,3.51,5.47,1.99,8,395,741,253,34.8,11.9,1,49,0.84,0.1,54,5.11,0.27,55
Christopher Hayes,Male,Wide Receiver,6.33,183,31.9,7.8,84.3,19.0,53.1,67.9,13.2,7.35,4.84,5.16,1.45,5,460,611,317,21.0,8.7,3,31,0.8,0.5,41,3.58,0.47,32
Joseph Watkins,Male,Linebacker,5.83,275,31.8,8.1,82.0,17.8,64.3,56.6,9.3,7.52,4.37,5.48,1.8,7,334,402,274,27.9,9.9,3,56,0.83,1.5,60,5.42,0.37,43
David Short,Male,Tight End,6.25,316,35.8,8.6,83.3,17.9,55.4,59.2,14.8,6.38,4.83,5.14,1.34,21,379,527,365,36.6,6.6,4,33,0.75,1.8,58,4.71,0.43,45
Jason Chen,Male,Linebacker,6.67,332,31.5,9.2,84.0,16.5,57.2,66.5,8.3,6.78,3.93,4.33,1.61,23,478,492,349,21.0,10.4,1,12,0.76,1.0,62,3.72,0.46,45
Matthew Alvarez,Male,Wide Receiver,6.75,269,38.1,8.4,74.4,21.3,52.8,52.7,6.4,7.01,4.46,4.84,1.9,35,289,335,416,32.5,12.9,3,21,0.82,1.5,64,4.38,0.42,38
Joe Hoover,Male,Tight End,5.0,319,25.6,8.9,68.1,19.7,67.6,62.5,9.4,7.44,4.22,4.87,1.97,19,442,508,285,31.7,7.2,1,44,0.89,2.4,37,3.99,0.41,59
Anthony Rich,Male,Offensive Lineman,5.75,224,27.9,7.9,71.8,21.5,53.1,56.6,9.1,7.1,3.92,5.32,1.82,17,487,571,437,40.5,11.6,4,22,0.68,2.9,54,4.87,0.44,46
Richard Hernandez,Male,Tight End,6.5,249,36.3,9.2,73.4,21.2,67.2,53.2,7.1,7.79,4.6,4.87,1.44,40,302,385,421,40.1,12.6,1,40,0.65,0.5,67,3.03,0.25,36
Scott Graham,Male,Linebacker,6.17,321,38.3,7.9,79.1,20.8,59.3,47.8,10.8,7.55,4.48,4.41,1.98,37,519,538,341,32.7,7.4,3,59,0.91,0.6,35,3.91,0.29,53
Maxwell Mckinney,Male,Defensive Lineman,5.75,304,33.4,8.5,84.4,17.0,65.7,64.1,12.5,7.69,3.54,5.01,1.47,8,503,680,245,29.0,11.5,1,26,0.87,1.7,50,4.02,0.28,35
Daniel Lawson,Male,Safety,5.33,205,31.4,8.9,65.9,22.5,60.0,74.6,14.6,6.03,4.8,4.9,1.43,43,271,361,449,35.5,7.5,2,35,0.92,0.0,69,3.81,0.4,52
David Davis,Male,Wide Receiver,6.83,258,36.8,8.3,81.1,17.9,68.4,67.8,9.2,6.76,5.27,5.49,1.36,45,454,326,293,42.5,8.4,3,42,0.69,2.1,50,4.08,0.48,30
Douglas Moon,Male,Offensive Lineman,5.0,180,38.6,8.9,85.0,19.5,57.9,70.5,9.2,5.63,4.99,5.32,1.45,11,287,516,400,28.6,9.2,1,13,0.95,0.4,69,4.19,0.44,43
Jason Rose,Male,Offensive Lineman,5.75,266,38.7,10.1,73.9,23.3,62.1,43.0,5.1,5.62,3.84,4.88,1.84,34,533,509,315,28.2,13.0,4,49,0.57,2.8,40,3.05,0.48,30
Thomas Klein,Male,Safety,5.25,261,26.7,8.9,68.9,19.9,51.1,57.0,9.2,5.6,3.73,4.78,1.43,14,434,708,420,43.8,7.7,1,52,0.93,0.7,74,5.2,0.37,49
Patrick Combs,Male,Offensive Lineman,5.92,166,36.9,10.1,67.7,22.7,65.4,41.3,5.8,7.61,5.47,4.75,1.57,35,386,565,351,26.0,7.5,1,55,0.65,0.3,66,5.34,0.47,45
Jonathan Vazquez,Male,Offensive Lineman,6.0,347,37.3,7.8,81.4,23.8,65.9,48.7,6.4,6.24,3.72,5.11,1.42,34,525,539,344,25.7,10.9,3,49,0.6,0.3,38,3.2,0.39,39
Christopher Adams,Male,Kicker,6.33,183,26.4,8.4,65.8,19.0,69.6,62.0,12.1,8.0,3.53,4.38,1.71,40,454,648,403,26.3,12.8,1,59,0.65,0.2,71,5.31,0.25,53
William Cooper,Male,Offensive Lineman,5.75,173,30.4,9.5,66.0,21.5,56.7,50.2,14.1,6.31,4.59,4.21,1.88,18,440,452,469,31.2,8.4,1,49,0.9,1.2,37,3.19,0.25,37
Ryan Quinn,Male,Linebacker,5.25,340,37.3,9.4,71.2,19.1,65.1,57.9,11.7,7.65,3.69,4.73,1.77,20,428,580,210,22.3,7.7,2,19,0.61,1.2,67,5.49,0.48,34
William Richards,Male,Punter,5.67,282,25.6,7.9,73.3,19.9,54.0,74.5,8.0,7.03,4.56,4.47,1.59,14,264,528,388,39.6,10.2,4,50,0.7,0.8,75,4.54,0.39,35
Jamie Moore,Male,Offensive Lineman,5.83,199,26.4,8.1,74.4,19.4,57.0,50.5,12.5,6.81,3.85,4.62,1.54,36,473,620,494,25.6,6.3,1,15,0.64,0.1,32,4.14,0.33,36
Ryan Horne,Male,Quarterback,6.42,165,25.7,10.2,71.4,17.1,61.7,61.0,10.5,6.22,3.89,4.67,1.98,18,376,700,413,40.2,9.3,1,45,0.81,0.8,32,4.75,0.49,56
Ronald King,Male,Wide Receiver,5.42,340,38.3,9.4,81.9,24.7,63.4,55.1,14.1,6.77,4.72,4.21,1.34,35,430,657,319,20.9,8.0,2,50,0.7,2.9,31,3.51,0.3,33
Joseph Myers,Male,Wide Receiver,5.25,200,38.1,10.5,65.1,16.2,61.5,59.4,12.7,6.63,4.6,5.11,1.56,21,471,403,432,38.1,11.8,1,64,0.92,0.9,74,3.48,0.28,44
Gregory Thomas,Male,Defensive Lineman,5.17,199,34.5,7.9,75.4,20.8,67.0,74.0,12.3,6.1,3.76,5.25,1.64,42,290,387,454,36.8,11.4,4,38,0.66,1.2,26,4.61,0.29,35
William Collins,Male,Cornerback,6.17,308,34.6,8.5,84.6,20.9,53.8,67.0,13.9,7.38,4.09,4.93,1.45,41,434,599,243,22.8,8.3,1,32,0.65,0.9,28,4.99,0.26,37
Tyler Smith,Male,Safety,6.58,344,30.4,10.4,74.4,23.7,52.9,49.2,8.5,6.88,3.73,4.97,1.48,37,253,484,330,25.7,8.6,3,59,0.57,1.0,52,5.38,0.49,53
John Butler,Male,Defensive Lineman,5.0,338,28.6,8.4,80.7,19.9,61.3,52.1,8.5,7.4,4.26,4.58,1.48,35,550,398,449,29.2,9.4,4,49,0.64,1.1,73,4.94,0.3,45
Gregory Hartman,Male,Cornerback,5.75,299,28.2,9.0,78.0,23.6,53.4,44.1,11.5,5.89,4.81,5.41,1.96,16,334,326,409,44.8,11.2,3,20,0.85,0.5,62,5.42,0.4,56
Kenneth Gregory,Male,Quarterback,5.08,189,28.4,9.2,79.7,24.4,62.9,63.2,5.1,6.56,4.95,5.47,1.67,34,389,353,459,33.0,7.6,4,62,0.89,0.9,52,3.86,0.43,51
Travis Turner,Male,Punter,6.17,192,34.1,8.2,74.5,17.4,68.5,60.2,12.8,7.82,5.32,5.3,1.45,18,290,377,448,45.0,8.9,2,16,0.72,1.4,67,4.85,0.47,53
Mark Mann,Male,Quarterback,5.08,187,25.9,9.0,82.8,19.8,57.0,40.7,10.8,7.29,4.54,4.38,1.97,5,357,410,200,34.1,12.4,2,28,0.67,1.0,72,3.99,0.37,45
Derek Rodriguez,Male,Cornerback,5.33,180,28.3,8.4,71.3,20.8,60.4,72.8,7.9,5.66,4.11,4.64,1.76,10,335,609,403,24.6,11.3,3,38,0.74,0.6,51,3.99,0.27,34
Kyle Phillips,Male,Cornerback,5.33,157,36.1,8.0,78.3,19.2,59.2,49.7,10.3,7.04,4.72,5.15,1.88,43,443,730,355,30.8,8.1,1,49,0.73,1.6,73,4.34,0.49,30
