ID,Name,Gender,Height (ft),Weight (lbs),Arm Length (inches),Hand Size (inches),Max Velocity (mph),Vertical Jump (inches),Broad Jump (feet),Date,Sport,Activity.Name,Position.Name,Total.Duration,Total.Player.Load,Total.Distance..m.,Training.HSR,Heart.Rate.Exertion,Heart.Rate.Exertion.Per.Minute,Velocity.B3..Total...Efforts..Gen.2...Set.2.,Velocity.Band.2.Total.Distance..Set.2...m.,Velocity.Band.3.Total.Distance..Set.2...m.,Velocity.Band.4.Total.Distance..Set.2...m.,Acceleration.B2.3.Total.Efforts..Gen.2.,Deceleration.B2.3.Total.Efforts..Gen.2.,IMA.H.M.Accel,IMA.H.M.Decel,IMA.CoD.Left.High,IMA.CoD.Left.Medium,IMA.CoD.Right.High,IMA.CoD.Right.Medium,Maximum.Velocity..mph.,Week_of_Year
1157,Eve Lopez,Female,4.82,244,33.4,9.3,19.0,37,5.8,8/14/2021,Soccer,Training,Midfielder,158.51,960.92,6958.32,8.74,8773.68,78.87,9.9,787.98,301.66,672.21,56.35,3.98,8.47,58.21,29.72,56.35,40.04,20.53,6.78,33
1158,Quincy Garcia,Male,6.26,200,37.4,9.0,18.3,26,9.7,8/14/2021,Soccer,Training,Midfielder,104.71,964.53,1302.25,0.59,6568.57,107.83,1.19,528.07,841.81,696.52,2.06,30.76,22.49,51.67,18.9,30.72,3.33,28.78,18.19,33
1159,Paul Davis,Male,6.24,217,35.7,7.9,17.7,32,9.9,8/16/2021,Soccer,Training,Midfielder,176.6,913.22,3529.77,3.54,8145.82,56.64,5.03,607.11,828.63,286.18,21.57,57.09,17.11,21.23,61.64,27.13,33.94,2.24,11.04,33
1160,Ivy Khan,Female,4.56,246,35.5,6.4,20.4,23,10.0,8/17/2021,Soccer,Training,Midfielder,82.31,460.92,4685.36,6.75,4673.92,100.31,4.11,209.23,650.41,606.76,48.85,9.36,18.62,0.72,34.12,45.93,37.87,39.63,5.72,33
1161,Karen Brown,Female,6.15,163,29.9,6.5,22.6,28,10.1,8/17/2021,Soccer,Training,Midfielder,172.19,766.58,3.45,4.3,854.01,139.15,0.0,164.03,406.14,720.96,65.82,0.32,24.65,32.96,17.51,63.48,29.19,24.17,11.19,33
1162,Eve Clark,Female,4.76,190,28.5,9.2,14.8,49,5.0,8/18/2021,Soccer,Game,Midfielder,167.15,992.82,2551.67,9.85,5752.69,107.6,3.21,179.82,90.21,588.61,20.68,50.41,43.4,56.83,28.44,19.38,16.75,15.59,14.4,33
1163,Nina Clark,Female,5.17,216,28.2,8.1,23.3,29,11.7,8/19/2021,Soccer,Training,Midfielder,169.18,663.71,4498.52,9.53,8482.35,68.39,1.69,809.21,762.78,368.38,63.61,61.47,8.15,20.73,57.58,53.14,31.71,9.69,13.96,33
1164,Eve Evans,Female,5.99,197,37.9,7.9,12.4,28,10.7,8/22/2021,Soccer,Training,Midfielder,101.89,849.16,5591.92,5.79,10011.43,54.67,7.33,475.61,933.13,856.42,28.09,24.03,34.13,12.61,22.27,13.76,36.58,32.25,8.47,34
1165,Karen Evans,Female,4.82,110,37.3,8.7,12.6,26,11.3,8/23/2021,Soccer,Training,Midfielder,168.98,787.44,6195.93,0.57,17053.77,159.01,4.1,444.78,965.98,435.1,11.92,48.43,12.83,50.14,4.2,48.84,36.0,37.45,15.17,34
1166,Mona Owens,Female,6.14,153,31.6,9.4,14.0,34,5.1,8/24/2021,Soccer,Training,Midfielder,34.52,901.24,7714.6,6.85,16426.53,110.26,7.48,29.92,107.88,616.26,21.44,26.84,42.12,43.43,22.96,48.78,17.71,15.7,11.61,34
1167,Tina Davis,Female,6.16,146,27.0,8.5,11.8,47,11.5,8/24/2021,Soccer,Training,Midfielder,147.99,646.67,5087.27,6.32,17113.41,97.51,0.6,753.35,939.76,81.08,25.34,48.49,57.55,33.01,36.14,30.61,12.15,35.02,15.22,34
1168,Diana Brown,Female,5.51,239,30.7,9.1,13.5,27,10.7,8/25/2021,Soccer,Training,Midfielder,112.8,122.19,2972.27,7.66,12947.95,184.03,5.78,897.78,773.85,318.83,23.59,23.51,32.62,76.83,55.85,43.36,8.84,8.98,1.06,34
1169,Diana Roberts,Female,4.51,248,34.3,9.1,11.6,38,10.9,8/25/2021,Soccer,Training,Midfielder,63.2,400.98,6249.84,4.75,1645.97,91.96,6.24,298.39,319.97,41.08,15.68,0.91,38.74,13.65,11.62,46.17,4.95,22.69,13.84,34
1170,Karen Foster,Female,5.07,238,31.8,7.4,22.3,30,5.7,8/27/2021,Soccer,Game,Midfielder,84.45,97.05,9007.41,2.13,830.55,111.3,3.55,408.68,881.03,988.97,45.05,44.38,58.18,51.06,37.42,11.02,34.31,14.95,11.45,35
1171,Tina Clark,Female,5.73,104,36.7,7.1,12.1,24,10.2,8/28/2021,Soccer,Game,Midfielder,104.55,904.96,3517.42,5.75,9293.9,158.99,2.8,49.23,481.98,353.53,60.28,48.26,36.21,9.62,5.73,53.25,8.53,6.43,6.94,35
1172,Frank Jackson,Male,6.46,119,40.0,9.2,21.2,21,11.7,8/30/2021,Soccer,Training,Midfielder,109.0,615.35,8649.18,1.68,11657.56,151.17,7.3,533.86,56.48,848.41,6.39,1.89,12.97,55.62,18.01,57.97,7.41,30.48,11.49,35
1173,Jack Roberts,Male,5.76,145,27.9,7.5,10.7,29,9.7,8/31/2021,Soccer,Training,Midfielder,18.7,765.82,8944.16,7.74,826.56,133.04,7.57,101.57,787.71,933.01,41.63,3.71,55.77,89.63,38.45,52.24,0.01,30.96,9.11,35
1174,Tina Jackson,Female,5.02,111,31.9,9.6,24.2,35,9.0,9/1/2021,Soccer,Training,Midfielder,21.73,437.78,9793.2,2.98,16996.1,99.26,4.16,666.25,741.3,414.21,63.18,0.66,54.58,77.97,9.47,12.26,22.8,10.61,13.59,35
1175,Quincy Brown,Male,5.77,169,31.5,6.3,20.7,42,11.6,9/2/2021,Soccer,Training,Midfielder,45.12,1114.57,3960.53,7.74,5257.79,127.95,8.28,202.72,212.95,531.6,38.41,24.35,53.45,69.66,55.84,19.39,7.56,35.3,13.13,35
1176,Karen Brown,Female,5.58,116,29.6,6.2,10.1,32,8.1,9/3/2021,Soccer,Game,Midfielder,132.78,445.55,2015.26,6.39,12555.79,176.44,8.86,48.68,690.03,661.43,16.86,60.55,55.65,21.22,63.58,24.63,12.65,31.13,10.91,36
1177,Hank Anderson,Male,6.06,214,28.0,9.7,21.5,27,9.2,9/5/2021,Soccer,Game,Midfielder,40.52,695.32,3484.84,5.28,16960.03,79.94,0.35,249.86,163.65,259.34,14.75,16.0,21.9,20.42,39.29,49.3,11.99,27.77,15.64,36
1178,Eve Harris,Female,4.71,246,26.0,8.6,17.7,28,8.3,9/7/2021,Soccer,Training,Midfielder,171.31,545.59,2071.86,1.42,12604.98,153.07,0.68,948.68,580.49,896.93,37.91,70.6,27.3,87.29,9.63,39.35,29.85,28.02,13.83,36
1179,Steve Roberts,Male,6.02,147,38.3,7.5,21.7,30,11.5,9/8/2021,Soccer,Training,Midfielder,31.43,666.87,8867.66,8.98,14188.17,128.78,7.13,216.77,625.81,916.22,64.41,40.29,22.8,24.7,13.63,31.58,16.55,26.45,14.1,36
1180,Karen Davis,Female,5.58,207,31.3,9.0,17.8,30,5.5,9/9/2021,Soccer,Individual,Midfielder,75.23,1073.52,9578.49,4.7,8639.87,114.18,2.18,957.63,750.34,399.33,62.58,49.44,17.34,30.42,16.53,36.36,15.16,36.02,3.37,36
1181,Alice Foster,Female,6.43,151,32.5,8.7,19.6,42,8.5,9/10/2021,Soccer,Training,Midfielder,164.59,1032.73,9526.15,3.03,6780.36,118.78,8.35,21.92,918.53,310.63,58.88,43.46,2.74,52.73,9.36,40.26,24.14,30.36,13.06,37
1182,Bob Irwin,Male,5.18,195,38.8,8.1,21.8,45,9.8,9/11/2021,Soccer,Training,Midfielder,155.09,396.56,4600.26,7.88,1747.06,100.12,2.22,57.69,701.95,868.31,2.24,46.43,48.33,32.45,46.89,9.36,1.51,2.0,9.49,37
1183,Leo Mitchell,Male,5.77,169,36.6,6.4,16.1,35,10.5,9/12/2021,Soccer,Game,Midfielder,125.55,156.72,3640.45,6.06,6447.45,119.24,2.48,990.29,381.52,481.3,44.39,66.76,3.19,65.46,3.82,24.51,15.16,31.98,18.07,37
1184,Nina Nelson,Female,6.36,201,27.0,9.2,10.0,29,9.1,9/14/2021,Soccer,Training,Midfielder,164.24,338.22,4627.24,2.92,7773.03,94.92,0.77,102.62,346.48,763.55,22.59,63.04,35.69,38.36,27.19,18.99,12.88,37.38,17.0,37
1185,Charlie Mitchell,Male,4.71,174,33.5,9.5,22.7,48,11.4,9/15/2021,Soccer,Training,Midfielder,110.73,951.48,4847.73,3.22,8525.12,148.48,1.77,170.24,564.86,299.62,64.0,28.57,51.92,75.84,43.15,22.02,8.66,35.15,11.59,37
1186,Paul Garcia,Male,6.37,242,31.6,6.7,15.7,43,11.6,9/16/2021,Soccer,Training,Midfielder,149.08,1076.67,2761.69,4.77,10890.64,79.65,4.31,621.44,351.21,222.55,54.35,11.42,4.86,73.52,32.83,59.16,8.8,0.41,15.12,37
1187,Tina Davis,Female,5.88,181,37.0,9.4,17.4,31,5.5,9/17/2021,Soccer,Game,Midfielder,92.23,169.17,2574.76,0.69,2535.64,179.58,0.26,928.56,47.48,479.37,37.85,19.3,36.07,49.82,24.13,59.81,26.35,31.69,11.06,38
1188,Diana Irwin,Female,4.64,191,35.9,9.5,10.1,44,7.8,9/19/2021,Soccer,Game,Midfielder,48.76,685.93,4399.81,5.69,15559.5,146.25,4.53,768.4,544.99,45.7,8.37,13.72,58.86,75.88,43.53,10.68,5.93,27.1,15.15,38
1189,Diana Irwin,Female,5.1,103,35.4,8.2,17.4,25,5.2,9/21/2021,Soccer,Training,Midfielder,150.45,973.59,5948.05,5.07,9770.26,82.72,8.32,201.27,853.43,198.75,23.21,14.6,35.49,61.76,40.92,5.19,35.48,22.86,12.52,38
1190,Alice Brown,Female,5.92,234,30.1,8.6,24.8,47,7.3,9/22/2021,Soccer,Training,Midfielder,9.13,693.85,4345.28,0.54,12992.14,131.08,2.5,4.17,469.5,857.85,40.48,36.66,15.7,35.0,44.12,22.1,18.03,23.14,12.53,38
1191,Quincy Lopez,Male,4.63,208,37.1,7.5,14.2,31,8.8,9/23/2021,Soccer,Training,Midfielder,146.01,806.64,10343.99,7.53,3938.35,129.0,9.81,549.4,282.95,687.4,0.39,26.6,6.81,72.38,60.99,27.75,36.14,0.05,15.85,38
1192,Diana Irwin,Female,5.66,147,25.8,7.1,15.9,29,11.4,9/24/2021,Soccer,Game,Midfielder,149.16,152.72,3334.45,4.34,15739.13,166.89,6.65,994.64,349.62,996.73,23.07,73.29,32.38,60.08,49.0,37.04,36.81,24.6,12.97,39
1193,Quincy Irwin,Male,5.19,172,27.4,8.9,20.3,37,10.9,9/25/2021,Soccer,Training,Midfielder,39.07,797.84,8728.56,5.06,2010.33,94.34,4.54,618.47,670.72,812.43,11.83,32.13,12.62,20.29,50.23,1.47,27.66,5.33,15.92,39
1194,Grace Roberts,Female,5.74,171,30.0,9.4,22.2,37,5.9,9/26/2021,Soccer,Training,Midfielder,72.04,886.54,5187.87,1.14,1686.51,89.37,9.69,170.74,664.49,934.22,42.74,53.9,22.78,75.27,18.1,30.69,1.45,7.05,4.21,39
1195,Eve Irwin,Female,4.59,215,26.2,8.6,16.3,23,5.7,9/28/2021,Soccer,Training,Midfielder,11.83,89.18,7986.7,1.12,4020.46,90.93,8.66,192.08,165.6,750.19,2.63,26.9,27.14,40.25,0.55,44.38,37.17,13.74,7.21,39
1196,Ivy Harris,Female,6.24,180,28.5,8.0,14.6,28,9.1,9/29/2021,Soccer,Training,Midfielder,87.99,1001.24,7662.23,4.0,12324.23,60.04,6.62,401.88,210.15,560.9,34.37,61.92,31.86,37.1,25.36,18.12,26.35,34.74,12.89,39
1197,Frank Jackson,Male,6.45,180,37.5,6.6,24.1,26,8.7,9/30/2021,Soccer,Training,Midfielder,28.28,181.3,7327.61,3.5,15127.77,165.74,8.9,270.95,262.81,877.1,0.64,10.79,26.13,27.06,12.48,35.5,12.31,38.89,17.54,39
1198,Ivy Brown,Female,6.44,212,39.2,6.2,20.2,37,6.9,10/1/2021,Soccer,Training,Midfielder,83.54,874.95,8458.27,6.94,8363.65,54.75,6.27,483.77,822.86,658.53,3.17,76.1,38.29,45.59,5.76,13.94,35.41,22.92,11.7,40
1199,Charlie Brown,Male,6.0,195,29.6,7.8,11.8,27,11.3,10/3/2021,Soccer,Training,Midfielder,60.76,1106.48,4487.54,5.47,3012.32,116.11,5.4,426.27,986.52,416.35,0.3,19.58,47.57,74.52,40.28,52.24,34.97,19.59,4.6,40
1200,Ivy Evans,Female,4.76,171,29.0,6.2,11.0,30,11.5,10/5/2021,Soccer,Training,Midfielder,95.28,182.6,9855.66,7.35,11923.64,52.45,9.66,345.13,772.42,997.79,55.45,7.14,29.78,30.37,52.16,9.12,39.93,11.98,15.19,40
1201,Quincy Jackson,Male,6.02,246,29.2,8.3,17.3,26,7.8,10/6/2021,Soccer,Training,Midfielder,92.78,584.82,516.01,8.21,3407.22,88.41,5.16,995.16,974.4,745.14,19.07,60.52,52.08,55.74,32.66,56.77,14.89,38.18,9.82,40
1202,Charlie Brown,Male,4.55,162,29.2,7.5,13.3,28,11.2,10/7/2021,Soccer,Training,Midfielder,26.26,1053.16,1758.1,1.87,7722.41,155.34,4.93,264.13,922.29,965.71,12.88,35.78,26.17,61.49,19.25,25.46,20.81,5.72,4.45,40
1203,Frank Taylor,Male,4.54,137,25.5,9.0,13.8,27,7.7,10/8/2021,Soccer,Game,Midfielder,166.72,98.78,8335.35,1.09,676.47,114.96,9.8,42.17,218.11,147.22,42.64,20.61,55.28,13.61,27.03,49.87,18.38,17.67,1.65,41
1204,Rita Foster,Female,5.15,166,38.9,7.2,23.2,22,10.2,10/9/2021,Soccer,Training,Midfielder,97.97,462.63,6099.71,1.14,10667.85,117.88,6.19,522.42,814.03,677.81,49.21,2.04,57.6,26.7,42.3,53.55,34.34,22.84,0.92,41
1205,Quincy Davis,Male,5.48,168,28.2,8.4,11.3,36,8.3,10/10/2021,Soccer,Game,Midfielder,133.33,502.23,6012.04,9.46,12621.95,58.44,3.27,662.0,775.16,852.83,12.55,50.04,23.32,68.3,4.83,38.66,12.77,26.06,5.71,41
1206,Mona Taylor,Female,6.04,112,31.3,8.2,20.7,21,5.9,10/12/2021,Soccer,Training,Midfielder,71.15,1096.99,9830.32,9.62,12561.48,152.9,6.61,922.53,997.49,573.97,20.2,21.35,59.86,83.9,52.38,60.9,11.21,18.29,10.95,41
1207,Leo Jackson,Male,5.87,130,25.1,6.0,14.1,34,11.5,10/13/2021,Soccer,Training,Midfielder,136.09,448.38,3255.69,0.96,9681.78,180.04,1.19,881.6,216.52,858.75,39.34,40.81,40.02,15.17,57.25,23.69,5.75,13.0,6.13,41
1208,Oscar Taylor,Male,5.39,213,37.9,6.3,21.4,33,8.2,10/14/2021,Soccer,Training,Midfielder,125.71,784.2,2673.41,0.28,1760.66,160.31,0.24,909.4,299.06,863.48,55.42,14.8,33.45,37.53,22.16,54.69,33.22,35.94,13.37,41
1209,Jack Harris,Male,5.05,121,36.0,7.2,20.8,48,10.1,10/15/2021,Soccer,Game,Midfielder,142.5,1096.08,9758.99,2.65,6500.65,127.53,8.92,471.48,342.26,99.77,8.87,26.8,41.76,42.16,22.24,10.49,21.44,2.36,4.73,42
1210,Paul Roberts,Male,6.49,192,39.2,9.5,10.1,37,7.6,10/16/2021,Soccer,Training,Midfielder,12.54,765.14,8689.51,1.34,15852.42,87.33,8.87,87.36,37.14,898.32,57.96,59.96,16.65,39.54,23.94,15.18,31.6,6.92,6.55,42
1211,Alice Perez,Female,5.35,166,36.7,6.6,17.6,35,5.1,10/17/2021,Soccer,Game,Midfielder,84.18,600.63,8637.63,4.35,14540.01,182.46,2.75,875.1,810.16,514.66,60.18,67.78,22.52,31.7,29.74,5.76,33.64,16.16,6.01,42
1212,Frank Brown,Male,5.4,153,29.7,8.8,12.1,39,5.7,10/20/2021,Soccer,Training,Midfielder,25.51,1108.71,615.75,3.73,14365.67,178.6,7.6,312.32,707.98,539.76,64.38,20.71,47.06,73.99,4.34,55.67,32.92,32.55,0.33,42
1213,Oscar Lopez,Male,4.83,237,28.7,9.9,23.0,41,8.5,10/21/2021,Soccer,Training,Midfielder,32.04,1101.91,9562.05,6.96,9225.12,59.2,0.7,209.65,445.03,309.47,7.04,28.06,48.83,23.52,57.0,30.22,9.07,31.27,15.05,42
1214,Hank Perez,Male,6.09,141,35.5,9.2,23.1,23,9.8,10/22/2021,Soccer,Game,Midfielder,94.58,1009.72,7057.6,4.71,15302.32,182.87,7.3,959.41,592.73,111.22,4.34,25.63,22.82,88.2,27.36,38.49,29.99,25.76,4.2,43
1215,Alice Taylor,Female,5.89,163,30.5,7.0,16.3,44,7.3,10/23/2021,Soccer,Training,Midfielder,39.4,735.78,8330.14,5.48,12815.86,88.65,3.68,137.91,936.87,479.51,57.84,31.38,36.13,61.11,3.9,9.31,33.23,30.67,2.27,43
1216,Frank Nelson,Male,4.94,225,33.5,9.6,16.7,39,9.9,10/24/2021,Soccer,Game,Midfielder,83.51,782.62,2851.26,2.65,15369.51,126.84,0.37,939.64,344.18,395.77,46.34,35.17,25.9,59.16,18.21,26.87,31.89,5.55,16.8,43
1217,Quincy Anderson,Male,4.66,120,25.1,6.4,14.5,25,9.9,10/26/2021,Soccer,Training,Midfielder,22.85,184.94,2404.28,0.06,6288.44,63.05,2.0,264.62,865.22,128.35,27.61,2.27,50.49,50.89,16.85,49.87,11.28,29.39,5.3,43
1218,Frank Quinn,Male,5.86,134,25.9,7.9,20.7,25,9.9,10/27/2021,Soccer,Training,Midfielder,78.24,281.19,2144.01,0.88,4426.98,105.89,5.97,153.77,559.94,1.55,17.84,64.97,39.49,88.32,28.46,7.07,11.37,20.65,8.06,43
1219,Eve Roberts,Female,5.81,129,33.0,9.6,15.4,45,8.4,10/28/2021,Soccer,Training,Midfielder,24.67,711.98,4306.11,7.14,5014.19,96.21,1.6,302.54,68.23,839.17,6.49,27.53,44.25,47.17,27.95,1.55,4.9,26.52,13.95,43
1220,Ivy Irwin,Female,5.05,156,33.5,8.6,14.0,30,11.4,10/29/2021,Soccer,Game,Midfielder,163.75,933.5,8286.49,4.63,13542.16,148.99,1.01,968.8,13.52,330.02,62.89,73.33,10.45,30.79,54.57,29.33,20.33,19.58,3.17,44
1221,Jack Foster,Male,6.4,146,36.3,7.7,16.5,45,8.4,11/8/2021,Soccer,Conditioning,Midfielder,18.98,405.95,302.3,4.33,15348.09,131.77,9.88,113.64,217.19,418.18,46.29,39.99,45.66,22.01,7.38,39.2,18.33,10.89,0.8,45
1222,Charlie Harris,Male,4.8,118,27.0,7.2,11.4,36,8.2,11/15/2021,Soccer,Conditioning,Midfielder,74.29,892.86,3974.63,1.0,7228.15,160.77,6.67,162.89,960.85,268.5,47.61,27.53,54.29,61.99,12.46,24.96,31.91,37.96,16.05,46
1223,Ivy Harris,Female,5.36,213,32.7,7.5,21.2,43,6.4,11/17/2021,Soccer,Conditioning,Midfielder,144.83,887.91,4531.33,3.83,14194.29,69.82,5.04,854.44,178.78,419.52,61.78,73.47,2.12,14.28,5.48,19.2,5.8,38.82,14.33,46
1224,Rita Jackson,Female,6.39,107,27.9,8.0,10.2,47,7.2,11/29/2021,Soccer,Conditioning,Midfielder,73.29,376.79,1671.78,3.09,17575.72,173.22,1.9,264.95,755.53,506.55,32.14,52.94,57.56,44.04,32.43,54.62,8.46,24.78,12.48,48
1225,Steve Roberts,Male,5.34,125,26.4,7.3,19.7,22,5.3,12/1/2021,Soccer,Conditioning,Midfielder,27.08,678.02,406.54,6.04,14569.76,150.66,7.12,978.08,785.97,41.67,27.55,31.54,40.77,60.77,18.35,47.28,14.36,9.98,5.81,48
1226,Frank Perez,Male,5.78,212,31.2,9.9,12.7,32,9.4,8/13/2021,Soccer,Training,Forward,35.17,495.58,4401.33,6.64,14901.78,154.2,3.51,579.74,678.24,28.43,56.62,8.43,42.04,88.82,5.45,48.3,32.87,12.17,5.14,33
1227,Frank Smith,Male,5.3,170,27.5,9.7,13.5,41,6.7,8/14/2021,Soccer,Training,Forward,132.45,456.88,5872.73,9.63,11855.92,109.71,0.17,322.91,244.19,742.98,48.1,65.15,21.83,66.13,17.8,49.34,2.43,27.29,14.86,33
1228,Hank Harris,Male,5.05,129,28.3,9.5,19.5,22,7.1,8/14/2021,Soccer,Training,Forward,55.07,472.05,2115.03,8.49,11038.24,111.84,0.84,424.14,286.15,46.73,45.36,4.91,21.03,35.11,44.42,56.23,14.07,33.56,13.44,33
1229,Diana Khan,Female,6.47,234,29.8,7.7,24.9,35,10.4,8/16/2021,Soccer,Training,Forward,176.38,1100.45,6052.31,7.85,8250.17,88.06,5.41,848.88,164.21,212.87,33.49,62.17,12.68,66.23,30.58,24.81,7.95,22.34,2.19,33
1230,Quincy Owens,Male,5.32,166,28.9,8.8,21.7,34,7.3,8/17/2021,Soccer,Training,Forward,155.89,101.07,252.03,8.65,1889.84,137.16,3.29,30.41,507.72,827.69,35.33,56.15,55.16,89.69,29.82,16.47,15.56,17.76,7.66,33
1231,Tina Garcia,Female,6.29,164,26.3,9.6,13.4,30,6.7,8/17/2021,Soccer,Training,Forward,79.66,179.91,2891.66,3.97,3807.75,68.98,0.36,77.16,391.24,413.31,39.46,11.41,56.77,66.15,23.36,5.67,31.38,28.67,5.45,33
1232,Frank Clark,Male,4.96,135,26.3,9.4,12.6,37,6.2,8/18/2021,Soccer,Game,Forward,172.17,862.69,9053.46,8.19,3224.73,97.6,0.65,109.57,13.94,352.35,59.05,1.22,0.72,60.44,52.58,4.41,17.92,2.03,9.42,33
1233,Grace Roberts,Female,4.93,124,27.9,7.7,23.0,34,10.4,8/19/2021,Soccer,Training,Forward,80.59,161.56,5291.02,4.31,17255.27,159.13,6.82,474.63,201.67,944.9,25.61,34.01,6.19,38.96,36.63,2.13,18.75,18.17,8.88,33
1234,Grace Smith,Female,4.56,136,25.8,6.4,16.7,24,5.9,8/22/2021,Soccer,Training,Forward,168.94,120.82,4973.97,3.91,4846.2,75.24,2.03,793.71,677.79,722.07,19.93,59.11,12.15,46.67,32.87,11.81,29.53,29.97,17.46,34
1235,Karen Roberts,Female,5.8,100,34.4,6.3,12.1,35,8.2,8/23/2021,Soccer,Training,Forward,143.86,294.98,569.58,4.97,10137.51,69.86,7.66,562.91,222.18,98.65,21.16,59.57,54.42,6.0,59.31,36.04,16.83,4.14,7.24,34
1236,Alice Roberts,Female,5.24,242,29.3,8.3,22.9,49,8.5,8/24/2021,Soccer,Training,Forward,50.0,736.6,1009.38,0.4,17335.76,60.76,3.62,5.59,243.22,793.34,0.54,56.49,43.6,28.99,2.32,23.35,22.8,26.45,12.93,34
1237,Steve Anderson,Male,6.23,136,29.2,8.6,22.2,35,9.8,8/25/2021,Soccer,Training,Forward,92.02,453.76,6983.75,1.11,6775.6,131.62,3.35,65.76,885.61,363.91,12.86,58.54,32.17,1.89,61.51,10.79,27.53,33.1,3.29,34
1238,Hank Smith,Male,5.45,240,30.0,9.4,24.8,36,9.4,8/28/2021,Soccer,Game,Forward,154.76,112.88,2962.57,0.59,9610.76,61.77,3.68,672.47,298.74,974.24,12.69,48.64,53.0,21.48,41.17,17.53,9.81,36.39,7.3,35
1239,Quincy Davis,Male,6.44,235,34.9,7.2,23.6,28,10.7,8/30/2021,Soccer,Training,Forward,45.82,178.54,10473.97,5.46,17008.19,98.25,2.96,95.81,151.66,229.49,34.97,1.67,1.67,28.13,12.1,28.83,31.16,13.24,12.08,35
1240,Nina Jackson,Female,4.87,232,38.1,6.7,22.8,46,5.3,8/31/2021,Soccer,Training,Forward,23.38,948.92,8627.03,7.53,17503.72,97.76,7.02,77.59,319.44,266.99,49.45,36.94,1.8,44.18,23.01,31.03,11.52,16.29,2.49,35
1241,Grace Smith,Female,6.24,227,36.4,7.5,10.8,42,7.1,9/1/2021,Soccer,Training,Forward,21.24,885.53,7831.73,2.8,16878.97,118.29,9.07,792.48,45.08,247.85,12.08,51.13,37.91,49.29,14.7,26.9,28.54,36.74,13.03,35
1242,Charlie Foster,Male,6.05,226,35.9,7.4,11.6,22,7.0,9/2/2021,Soccer,Training,Forward,41.96,909.81,4368.98,0.11,12537.0,145.96,2.22,437.34,954.66,549.75,58.4,44.44,12.6,26.81,4.56,63.1,4.9,22.29,11.18,35
1243,Alice Davis,Female,6.04,100,32.3,6.5,18.5,39,6.0,9/3/2021,Soccer,Game,Forward,99.32,313.84,10333.41,3.8,4840.31,140.18,1.38,136.63,883.48,383.69,45.67,73.64,0.73,60.86,30.63,44.96,1.3,1.22,17.03,36
1244,Oscar Harris,Male,6.19,134,35.4,8.7,18.0,32,7.0,9/5/2021,Soccer,Game,Forward,113.98,1099.77,10597.23,7.71,15274.04,163.88,7.25,484.9,806.68,998.25,1.27,16.23,38.92,63.69,30.43,0.64,12.02,6.79,9.05,36
1245,Nina Taylor,Female,6.02,203,33.3,8.0,16.9,41,7.2,9/7/2021,Soccer,Training,Forward,64.89,495.19,4761.52,6.91,9067.24,159.74,6.21,816.3,937.95,978.62,31.51,6.7,43.27,9.86,60.15,16.95,28.19,12.4,15.97,36
1246,Leo Perez,Male,5.75,122,28.2,8.9,16.0,22,8.7,9/8/2021,Soccer,Training,Forward,173.55,174.65,4656.67,5.08,8499.36,125.4,6.02,895.17,651.72,678.6,31.13,12.51,45.64,77.29,48.12,34.09,3.09,24.99,6.48,36
1247,Quincy Garcia,Male,4.76,108,28.1,7.4,16.5,47,9.6,9/9/2021,Soccer,Individual,Forward,118.94,277.62,4231.69,5.39,7153.23,134.96,6.89,176.56,905.13,89.06,0.99,2.71,53.48,9.84,46.93,37.19,14.85,7.97,4.56,36
1248,Hank Anderson,Male,4.57,133,29.4,7.3,18.5,26,7.7,9/10/2021,Soccer,Training,Forward,97.57,948.5,8534.97,9.72,3036.36,105.73,4.13,318.47,136.94,947.24,17.74,59.31,34.85,44.99,62.2,37.9,34.2,14.98,16.47,37
1249,Alice Perez,Female,6.34,227,38.7,7.9,10.0,48,10.0,9/11/2021,Soccer,Training,Forward,111.88,853.89,9427.89,3.22,14759.22,68.7,7.7,741.5,308.99,241.29,0.09,67.74,28.27,12.41,31.58,57.62,32.47,11.09,8.64,37
1250,Bob Brown,Male,5.73,103,33.2,9.5,13.9,25,7.4,9/12/2021,Soccer,Game,Forward,152.82,497.16,9760.3,4.96,742.74,56.29,8.94,293.29,682.85,854.47,6.31,37.81,59.73,52.26,51.76,31.82,28.95,6.3,9.61,37
1251,Eve Harris,Female,6.09,201,36.0,6.2,17.8,28,7.0,9/14/2021,Soccer,Training,Forward,161.49,962.3,7475.82,7.54,6976.14,108.42,4.53,361.78,881.62,760.98,2.39,22.52,39.83,66.56,12.88,25.15,19.12,24.27,15.92,37
1252,Mona Mitchell,Female,5.46,174,30.2,9.2,20.8,31,8.8,9/15/2021,Soccer,Training,Forward,88.12,682.68,6.23,0.16,17479.36,105.4,8.99,800.11,37.62,211.11,46.83,0.13,2.28,60.25,53.02,19.49,7.04,19.3,8.76,37
1253,Steve Clark,Male,4.73,198,31.1,7.5,12.6,34,5.2,9/16/2021,Soccer,Training,Forward,131.39,654.38,8501.01,6.87,10928.85,105.23,5.63,720.18,388.95,592.67,7.53,47.2,57.19,11.01,60.83,7.97,13.36,10.27,2.02,37
1254,Tina Perez,Female,4.75,171,26.9,9.4,18.2,40,5.6,9/17/2021,Soccer,Game,Forward,93.46,415.31,8944.9,7.95,2337.87,77.01,3.57,345.49,859.28,708.21,14.07,4.13,44.16,8.65,49.37,17.33,18.67,9.77,6.6,38
